Word,Wordcount
ja,4243
,4177
mutta,1258
hän,1050
juhani,1009
on,818
niin,741
kuin,619
oli,530
nyt,527
ei,483
he,469
hänen,430
aapo,405
minä,389
timo,368
se,364
että,323
joka,320
sen,312
vaan,304
tuomas,297
koska,292
simeoni,287
vielä,281
eero,271
mitä,259
heidän,242
tämä,231
sinä,215
aina,214
jo,202
tässä,200
viimein,180
siinä,174
lauri,172
veljekset,170
myös,169
kaikki,167
niinkuin,165
mies,164
jos,160
kerran,158
kohden,155
taasen,152
silloin,148
häntä,146
juuri,142
sillä,141
siitä,136
ylös,135
alas,135
kuitenkin,134
meitä,134
jukolan,129
sitä,126
oikein,124
kun,119
ole,118
mikä,116
täällä,115
miehen,113
kuinka,112
pian,110
sitten,110
jonka,109
siellä,109
heitä,108
taas,108
ulos,106
kaksi,105
en,104
vaikka,104
tämän,103
ennen,103
pois,102
tuossa,98
tuolla,96
vastaan,94
me,92
olkoon,90
itse,90
poika,87
kas,86
kovin,84
ukko,84
seitsemän,82
ilman,82
voi,82
kanssa,81
meille,79
tuo,79
tai,79
näin,79
olen,79
kyllä,77
kohta,71
veljet,71
tuli,71
impivaaran,71
miksi,70
minun,70
toinen,69
taivaan,68
te,67
minua,67
yksi,67
no,66
pojat,65
seisoi,65
aika,65
jossa,65
sinun,65
alla,64
sekä,64
päivä,64
hänelle,64
jotka,63
ympäri,63
meidän,63
eikä,63
tuota,62
herran,62
veljesten,61
olivat,60
takaisin,60
jumalan,59
vähän,59
ovat,58
ah,58
tuon,58
älä,58
istui,57
siis,57
pitkin,57
vasten,56
kauan,56
tästä,56
yhtään,54
sinua,54
noin,53
hieman,52
sentähden,52
eihän,52
heille,52
niinpä,52
koreasti,51
äkisti,50
josta,50
jumala,50
tänne,50
milloin,50
jota,49
seisoivat,49
hetken,49
lausui,48
ollut,47
suuri,47
talon,47
lukkari,47
muut,47
juhanin,46
yli,46
meillä,46
maailman,46
hyvä,46
enään,46
usein,45
vallan,45
koko,45
enemmin,45
äänellä,45
herra,45
läksivät,44
onpa,44
tuosta,44
silmät,44
mikko,44
mäkelä,44
heistä,43
tällä,43
asti,43
lopulta,42
kohtaan,42
astui,42
miestä,42
yhä,41
silmänsä,41
olemme,41
tahdon,41
